"imdbid","title","budget","gross","release_date","directors","producers","actors"
,"Atragon",,"1.75E8",1963-12-22,"Ishirō Honda","Tomoyuki Tanaka","Jun Tazaki, Tadao Takashima, Yu Fujiki"
,"My Neighbors the Yamadas","1.527E7","1.56E9",,"Isao Takahata","Toshio Suzuki",""
,"My Neighbors the Yamadas","2.0E9","1.56E9",,"Isao Takahata","Toshio Suzuki",""
,"Rodan (film)","2.0E8","1.43E8",,"Ishirō Honda","Tomoyuki Tanaka","Kenji Sahara, Yumi Shirakawa"
"0043580","The Tale of Genji (1951 film)",,"1.4105E8",,"Kōzaburō Yoshimura","Masaichi Nagata","Kazuo Hasegawa"
,"Fullmetal Alchemist the Movie: Conqueror of Shamballa",,"1.22E9",,"Seiji Mizushima","Masahiko Minami","Hidekatsu Shibata, Keiji Fujiwara, Kenji Utsumi, Kotono Mitsuishi, Masane Tsukayama, Masashi Ebara, Megumi Toyoguchi, Michiko Neya, Miyoko Asō, Miyuu Sawai, Rie Kugimiya, Romi Park, Shun Oguri, Tōru Ōkawa, Unshō Ishizuka"
"0097444","Godzilla vs. Biollante","7.0E8","1.04E9",,"Kazuki Ōmori","Tomoyuki Tanaka","Kunihiko Mitamura, Masanobu Takashima, Megumi Odaka, Toshiyuki Nagashima, Tōru Minegishi, Yasuko Sawaguchi, Yoshiko Kuga, Yoshiko Tanaka"
,"Stricken (2009 film)",,"9300000.0",,"Reinout Oerlemans","Reinout Oerlemans","Barry Atsma, Carice van Houten"
"0273069","The Adversary (film)",,"9062658.0",,"Nicole Garcia","Alain Sarde","Daniel Auteuil, Géraldine Pailhas"
,"Mad Love (2001 film)",,"8895196.0",,"Vicente Aranda","Enrique Cerezo","Eloy Azorín, Giuliano Gemma, Pilar López de Ayala, Rosana Pastor"
,"Barbarossa (film)","9000000.0","835469.0",,"Renzo Martinelli","Renzo Martinelli","F. Murray Abraham, Hristo Zhivkov, Raz Degan, Rutger Hauer"
,"They Call Me Jeeg","1700000.0","5973344.0",,"Gabriele Mainetti","Gabriele Mainetti","Luca Marinelli"
,"Irréversible","4600000.0","5800000.0",,"Gaspar Noé","Vincent Cassel","Albert Dupontel, Monica Bellucci, Vincent Cassel"
,"Manon des Sources (1986 film)",,"5.64E7",,"Claude Berri","Alain Poiré","Daniel Auteuil, Emmanuelle Béart, Hippolyte Girardot, Yves Montand"
,"Changing Times (film)","5300000.0","4100000.0",,"André Téchiné","Paulo Branco","Catherine Deneuve, Gérard Depardieu"
"1784575","The Parade (film)","1300000.0","4000000.0",,"Srđan Dragojević","Mike Downey","Dejan Aćimović, Goran Jevtić, Goran Navojec, Hristina Popović, Miloš Samolov, Nikola Kojo, Toni Mihajlovski"
,"Houba! On the Trail of the Marsupilami","3.94E7","4.84E7",,"Alain Chabat","Alain Chabat","Alain Chabat, Fred Testot, Géraldine Nakache, Jacques Weber, Jamel Debbouze, Lambert Wilson, Liya Kebede, Patrick Timsit"
,"What a Beautiful Day (film)","5000000.0","4.27E7",,"Gennaro Nunziante","Pietro Valsecchi","Checco Zalone, Luigi Luciano, Mehdi Brando Mahdloo, Rocco Antonio Papaleo"
,"Quest for Fire (film)","1.2E7","4.06E7",,"Jean-Jacques Annaud","Denis Héroux","Everett McGill, Ron Perlman"
,"It Snows in Benidorm","4.2","326609.0",,"Isabel Coixet","Agustín Almodóvar, Pedro Almodóvar","Ana Torrent, Pedro Casablanc, Sarita Choudhury, Timothy Spall"
,"Collision (2013 film)",,"307416.0",,"David Marconi","Luc Besson","Charlie Bewley, Frank Grillo, Jaimie Alexander, Marie-Josée Croze, Moussa Maaskri, Roschdy Zem"
,"The Wave (2008 film)","5000000.0","3.2350637E7",,"Dennis Gansel","Christian Becker, Rat Pack Filmproduktion","Max Riemelt"
,"The Card Player","2000000.0","2713882.0",2004-01-02,", Dario Argento",", Claudio Argento, Dario Argento","Liam Cunningham, Stefania Rocca, Vera Gemma"
,"The Happy Housewife","1800000.0","2263291.0",,"Antoinette Beumer","Hans de Weers","Carice van Houten, Marcel Hensema, Waldemar Torenstra"
,"Dagon (film)",,"212699.0",,"Stuart Gordon","Brian Yuzna","Francisco Rabal, Raquel Meroño"
"0995757","Summer Heat (2008 film)",,"2067446.0",2008-03-20,"Monique van de Ven","Ate de Jong","Sophie Hilbrand, Waldemar Torenstra"
,"Go West! A Lucky Luke Adventure","1.2E7","2.64E7",,"Olivier Jean-Marie","Marc du Pontavice","Bernard Alane, Christophe Lemoine, Clovis Cornillac, Lambert Wilson"
,"Le foto proibite di una signora per bene",,"2.008512E7",,"Luciano Ercoli","Luciano Ercoli","Dagmar Lassander, Nieves Navarro, Pier Paolo Capponi"
,"The Human Centipede (First Sequence)",,"187000.0",,"Tom Six","Tom Six","Akihiro Kitamura, Ashlynn Yennie, Dieter Laser"
"1583737","Unforgivable (2011 film)","7500000.0","1300000.0",,"André Téchiné","Saïd Ben Saïd","Adriana Asti, Carole Bouquet"
,"The House of Branching Love","1370398.0","1213751.0",,"Mika Kaurismäki","Mika Kaurismäki",""
"0280970","My Name Is Tanino",,"1044026.0",2002-07-05,", Paolo Virzì","Vittorio Cecchi Gori","Corrado Fortuna"
,"The Case of the Scorpion's Tail",,"1.9571993E7",1971-08-16,"Sergio Martino","Luciano Martino","Alberto de Mendoza, George Hilton, Ida Galli"
,"The Unknown Soldier (2017 film)","7000000.0","1.35E7",,"Aku Louhimies","Aku Louhimies","Paula Vesala, Samuli Vauramo"
,"My Big Night","4000000.0","1.18E7",,"Álex de la Iglesia","Enrique Cerezo","Blanca Suárez, Mario Casas, Pepón Nieto, Raphael"
"0280653","Amen.","1.57E7","1.121761E7",,"Costa-Gavras","Andrei Boncea",""
,"Many Kisses Later","1.0E7","1.07E7",,"Fausto Brizzi","Fulvio Lucisano","(HollySiz), Carla Signoris, Claudia Gerini, Claudio Bisio, Cristiana Capotondi, Cécile Cassel, Elena Sofia Ricci, Enrico Montesano, Fabio De Luigi, Flavio Insinna, Gianmarco Tognazzi, Malik Zidi, Nancy Brilli, Vincenzo Salemme"
,"Secret Superstar","15.0","977.0",,"Advait Chandan","Aamir Khan, Kiran Rao","Aamir Khan, Meher Vij, Raj Arjun, Zaira Wasim"
,"Kasme Vaade",,"97.0",,"Ramesh Behl","Ramesh Behl",""
,"Bajrangi Bhaijaan","75.0","969.0",,"Kabir Khan","Kabir Khan, Rockline Venkatesh, Salman Khan","Harshaali Malhotra, Nawazuddin Siddiqui, Salman Khan"
,"Muddula Mavayya",,"95.0",,"Kodi Ramakrishna","S. Gopal Reddy","Nandamuri Balakrishna, Vijayashanti"
"0049243","Funtoosh",,"90000.0",,"Chetan Anand","Dev Anand","Dev Anand, Krishan Niranjan"
,"Samrat Prithviraj","150.0","90.32",,"Dr. Chandra Prakash Dwivedi","Aditya Chopra",""
,"Hum Hain Rahi Pyar Ke",,"9.7E7",,"Mahesh Bhatt","Tahir Hussain","Aamir Khan, Juhi Chawla, Kunal Kemmu"
,"Once Upon ay Time in Mumbai Dobaara!","8.5E8","9.17E8",,"Milan Luthria","Ekta Kapoor, Shobha Kapoor",""
,"Laawaris (1981 film)",,"9.0",1981-05-22,"Prakash Mehra","Prakash Mehra","Amitabh Bachchan, Zeenat Aman"
"1582466","Adhurs","26.0","89.0",,"V. V. Vinayak","Kodali Sri    Rao, Vallabhaneni Vamsi Mohan","N. T. Rama Rao Jr."
,"Yamla Pagla Deewana","13.0","88.0",,"Samir Karnik","Samir Karnik","Anupam Kher, Bobby Deol, Dharmendra, Kulraj Randhawa"
,"1920 (film series)","52.0","87.57",2012-11-02,"Bhushan Patel, Tinu Suresh Desai, Vikram Bhatt","Anil Ambani, Vikram Bhatt","1920 series"
,"1920 (film series)","52.0","87.57",2008-09-12,"Bhushan Patel, Tinu Suresh Desai, Vikram Bhatt","Anil Ambani, Vikram Bhatt","1920 series"
,"1920 (film series)","52.0","87.57",2016-05-06,"Bhushan Patel, Tinu Suresh Desai, Vikram Bhatt","Anil Ambani, Vikram Bhatt","1920 series"
,"1920 (film series)","52.0","87.57",2018-01-12,"Bhushan Patel, Tinu Suresh Desai, Vikram Bhatt","Anil Ambani, Vikram Bhatt","1920 series"
,"Nannaku Prematho","45.0","87.2",,"Sukumar","B. V. S. N. Prasad","Jagapathi Babu, N. T. Rama Rao Jr."
,"Nannaku Prematho","45.0","87.2",,"Sukumar","B. V. S. N. Prasad","Rajendra Prasad, Rakul Preet Singh"
,"Kai Po Che!","30.0","83.0",,"Abhishek Kapoor","Ronnie Screwvala, Siddharth Roy Kapur","Amit Sadh, Amrita Puri, Asif Basra, Rajkummar Rao"
,"Mahanati","25.0","83.0",,"Nag Ashwin","Priyanka Dutt",""
