"imdbid","title","budget","gross","release_date","directors","producers","actors"
,"Knock Off (film)","3.5E7","4.4E7",,"Tsui Hark","Nansun Shi",", ""JCVD"", ""The Muscles from Brussels"", Jean-Claude Van Damme, Michael Wong, Paul Sorvino, Rob Schneider"
"0081480","Seems Like Old Times (film)",,"4.4E7",1980-12-19,"Jay Sandrich","Margaret Booth, Ray Stark","Charles Grodin, Chevy Chase, Goldie Hawn, Robert Guillaume"
,"Caravan (1971 film)",,"4.4E7",,"Nasir Husain","Tahir Hussain","Asha Parekh, Jeetendra"
,"The Exorcist III","1.1E7","4.4E7",,"William Peter Blatty","Carter DeHaven","Brad Dourif, George C. Scott, Jason Miller, Nicol Williamson, Scott Wilson"
,"Thor (film)","1.5E8","4.493E8",,"Kenneth Branagh","Kevin Feige","Chris Hemsworth, Clark Gregg, Colm Feore, Idris Elba, Jaimie Alexander, Kat Dennings, Natalie Portman, Ray Stevenson, Rene Russo, Stellan Skarsgård"
,"Pearl Harbor (film)","1.4E8","4.492E8",,"Michael Bay","Jerry Bruckheimer, Michael Bay","Alec Baldwin, Ben Affleck, Colm Feore, Cuba Gooding Jr., Jon Voight, Josh Hartnett, Kate Beckinsale, Tom Sizemore"
"0077504","The End (1978 film)","3000000.0","4.4917151E7",,"Burt Reynolds","Lawrence Gordon","Burt Reynolds, Carl Reiner, David Steinberg, Dom DeLuise, Kristy McNichol, Norman Fell, Pat O'Brien, Robby Benson, Sally Field, Strother Martin"
,"A Nightmare on Elm Street 3: Dream Warriors","4.3","4.48E7",,"Chuck Russell","Robert Shaye","Dick Cavett, Heather Langenkamp, John Saxon, Laurence Fishburne, Priscilla Pointer, Robert Englund"
,"Midnight Cowboy","3200000.0","4.48E7",,"John Schlesinger","Jerome Hellman","Dustin Hoffman, John McGiver, Jon Voight, Ruth White, Sylvia Miles"
,"Still Alice","4.0","4.48E7",,"Wash Westmoreland","Lex Lutzus","Alec Baldwin, Hunter Parrish, Julianne Moore, Kate Bosworth, Kristen Stewart"
,"Tarzan (1999 film)","1.3E8","4.482E8",,"Chris Buck, Kevin Lima","Bonnie Arnold","Alex D. Linz, Brian Blessed, Glenn Close, Lance Henriksen, Minnie Driver, Nigel Hawthorne, Tony Goldwyn"
,"Lakeview Terrace","2.0E7","4.47E7",,"Neil LaBute","Will Smith","Jay Hernandez, Kerry Washington"
,"The Wrestler (2008 film)","6000000.0","4.47E7",,"Darren Aronofsky","Darren Aronofsky","Evan Rachel Wood, Marisa Tomei, Mickey Rourke"
,"Star Wars sequel trilogy","8.37E8","4.475E9",2019-12-20,"J. J. Abrams, Rian Johnson","Bryan Burk, Kathleen Kennedy, Michelle Rejwan, Ram Bergman","Adam Driver, Andy Serkis, Anthony Daniels, Benicio del Toro, Billy Dee Williams, Carrie Fisher, Daisy Ridley, Domhnall Gleeson, Frank Oz, Gwendoline Christie, Harrison Ford, Ian McDiarmid, John Boyega, Joonas Suotamo, Kelly Marie Tran, Keri Russell, Laura Dern, Lupita Nyong'o, Mark Hamill, Max von Sydow, Naomi Ackie, Oscar Isaac, Peter Mayhew"
,"Star Wars sequel trilogy","8.37E8","4.475E9",2017-12-15,"J. J. Abrams, Rian Johnson","Bryan Burk, Kathleen Kennedy, Michelle Rejwan, Ram Bergman","Adam Driver, Andy Serkis, Anthony Daniels, Benicio del Toro, Billy Dee Williams, Carrie Fisher, Daisy Ridley, Domhnall Gleeson, Frank Oz, Gwendoline Christie, Harrison Ford, Ian McDiarmid, John Boyega, Joonas Suotamo, Kelly Marie Tran, Keri Russell, Laura Dern, Lupita Nyong'o, Mark Hamill, Max von Sydow, Naomi Ackie, Oscar Isaac, Peter Mayhew"
,"Star Wars sequel trilogy","8.37E8","4.475E9",2015-12-18,"J. J. Abrams, Rian Johnson","Bryan Burk, Kathleen Kennedy, Michelle Rejwan, Ram Bergman","Adam Driver, Andy Serkis, Anthony Daniels, Benicio del Toro, Billy Dee Williams, Carrie Fisher, Daisy Ridley, Domhnall Gleeson, Frank Oz, Gwendoline Christie, Harrison Ford, Ian McDiarmid, John Boyega, Joonas Suotamo, Kelly Marie Tran, Keri Russell, Laura Dern, Lupita Nyong'o, Mark Hamill, Max von Sydow, Naomi Ackie, Oscar Isaac, Peter Mayhew"
,"The Gift (2000 film)","1.0E7","4.46E7",,"Sam Raimi","Gary Lucchesi, Grant Curtis, James Jacks, Tom Rosenberg","Cate Blanchett, Giovanni Ribisi, Greg Kinnear, Hilary Swank, Katie Holmes"
"0119807","Nothing to Lose (1997 film)","2.5E7","4.45E7",,"Steve Oedekerk","Dan Jinks, Martin Bregman","Giancarlo Esposito, John C. McGinley, Kelly Preston, Martin Lawrence"
,"Mother!","3.0E7","4.45E7",,"Darren Aronofsky","Ari Handel","Ed Harris, Jennifer Lawrence, Michelle Pfeiffer"
"0265632","Recess: School's Out","2.3E7","4.45E7",,"Chuck Sheetz","Joe Ansolabehere, Paul Germain, Toshio Suzuki","Allyce Beasley, Andrew Lawrence, April Winchell, Ashley Johnson, Clancy Brown, Courtland Mead, Dabney Coleman, James Woods, Jason Davis, Melissa Joan Hart, Pamela Adlon, Peter MacNicol, Rickey D'Shon Collins, Robert Stack, Tony Jay"
,"The Three Brothers (film)","7200000.0","4.44E7",1995-12-13,"Bernard Campan, Didier Bourdon","Claude Berri","Bernard Campan, Didier Bourdon, Pascal Légitimus"
,"Valley of the Dolls (film)","4690000.0","4.44E7",,"Mark Robson","David Weisbert","Barbara Parkins, Patty Duke, Paul Burke, Sharon Tate, Susan Hayward"
,"Notorious (2009 film)","2.0E7","4.44E7",,"George Tillman Jr.","Mark Pitts","Angela Bassett, Anthony Mackie, Derek Luke, Jamal Woolard"
,"The Sisterhood of the Traveling Pants 2","2.7E7","4.43E7",,"Sanaa Hamri","Debra Martin Chase, Denise Di Novi, Kira Davis","Alexis Bledel, Amber Tamblyn, America Ferrera, Blake Lively, Rachel Nichols, Rachel Ticotin, Shohreh Aghdashloo"
,"A Man Apart","3.6E7","4.43E7",,"F. Gary Gray","Tucker Tooley, Vin Diesel","Geno Silva, Larenz Tate, Steve Eastin, Timothy Olyphant, Vin Diesel"
,"Alvin and the Chipmunks: The Squeakquel","7.0E7","4.431E8",,"Betty Thomas","Janice Karman, Ross Bagdasarian Jr.","Amy Poehler, Anna Faris, Christina Applegate, David Cross, Jesse McCartney, Justin Long, Matthew Gray Gubler, Zachary Levi"
,"Child's Play (1988 film)","9.0","4.42E7",,"Thomas Holland","David Kirschner","Catherine Hicks, Chris Sarandon"
,"House at the End of the Street","6.9","4.41E7",,"Mark Tonderai","Aaron Ryder","Elisabeth Shue, Gil Bellows, Jennifer Lawrence, Max Thieriot"
,"Machete (2010 film)","1.05E7","4.41E7",,"Robert Rodriguez","Elizabeth Avellán, Rick Schwartz, Robert Rodriguez","Danny Trejo, Don Johnson, Jessica Alba, Lindsay Lohan, Michelle Rodriguez, Robert De Niro, Steven Seagal"
,"Hardball (film)","3.2E7","4.41E7",,"Brian Robbins","Brian Robbins, Michael Tollin","D. B. Sweeney, Diane Lane, Graham Beckel, John Hawkes, Mike McGlone"
,"West Side Story (1961 film)","6750000.0","4.41E7",,"Jerome Robbins, Robert Wise","Robert Wise","George Chakiris, Natalie Wood, Richard Beymer, Rita Moreno, Russ Tamblyn"
,"The Exorcist","1.2E7","4.413E8",,"William Friedkin","William Peter Blatty","Ellen Burstyn, Jack MacGowran, Jason Miller, Kitty Winn, Lee J. Cobb, Linda Blair, Max von Sydow"
,"Terminator Genisys","155.0","4.406E8",,"Alan Taylor","David Ellison","Arnold Schwarzenegger, Courtney B. Vance, Dayo Okeniyi, Emilia Clarke, J. K. Simmons, Jai Courtney, Jason Clarke, Lee Byung-hun, Matt Smith, Michael Gladis, Sandrine Holt"
,"Legend (2015 film)","20.0","4.3E7",,"Brian Helgeland","Eric Fellner","Chazz Palminteri, Christopher Eccleston, David Thewlis, Duffy, Emily Browning, Tom Hardy"
,"When in Rome (2010 film)","2.8E7","4.3E7",,"Mark Steven Johnson","Mark Steven Johnson","Anjelica Huston, Danny DeVito, Dax Shepard, Jon Heder, Kristen Bell"
,"Escape from Alcatraz (film)","8000000.0","4.3E7",,"Donald Siegel","Donald Siegel","Clint Eastwood, Patrick McGoohan"
,"Much Ado About Nothing (1993 film)","5800000.0","4.3E7",,"Kenneth Branagh","David Parfitt, Kenneth Branagh","Denzel Washington, Emma Thompson, Kate Beckinsale, Kenneth Branagh, Michael Keaton, Robert Sean Leonard"
,"Midway (1976 film)","4000000.0","4.3E7",,"Jack Smight","Walter Mirisch","Charlton Heston, Christina Kokubo, Cliff Robertson, Ed Nelson, Edward Albert, Glenn Ford, Henry Fonda, James Coburn, James Shigeta, Robert Mitchum, Robert Webber, Toshiro Mifune"
,"See Spot Run","1.6E7","4.3E7",,"John Whitesell","Robert Simonds","Angus T. Jones, Anthony Anderson, David Arquette, Joe Viterelli, Leslie Bibb, Michael Clarke Duncan, Paul Sorvino, Steve Schirripa"
,"Warcraft (film)","1.6E8","4.39E8",,"Duncan Jones","Charles Roven, Thomas Tull","Ben Foster, Daniel Wu, Dominic Cooper, Paula Patton, Robert Kazinsky, Toby Kebbell, Travis Fimmel"
,"Jungle Fever","1.4E7","4.39E7",,", Spike Lee",", Spike Lee",", Annabella Sciorra, Anthony Quinn, Frank Vincent, John Turturro, Lonette McKee, Ossie Davis, Ruby Dee, Spike Lee, Wesley Snipes"
"0300556","Timeline (2003 film)","8.0E7","4.39E7",,"Richard Donner","Lauren Shuler Donner, Richard Donner","Billy Connolly, Frances O'Connor, Paul Walker"
,"Shining Through",,"4.38E7",,"David Seltzer","David Seltzer","Liam Neeson, Melanie Griffith, Michael Douglas"
,"Wall Street (1987 film)","1.65E7","4.38E7",1987-12-11,"Oliver Stone","Edward R. Pressman","Charlie Sheen, Daryl Hannah, Michael Douglas, Terence Stamp"
,"The Wing or the Thigh",,"4.38E7",1976-10-27,"Claude Zidi","Christian Fechner","Ann Zacharias, Claude Gensac, Coluche, Julien Guiomar, Louis de Funès, Martin Lamotte"
,"Richard Jewell (film)","4.5E7","4.37E7",,"Clint Eastwood","Clint Eastwood, Jonah Hill, Kevin Misher, Leonardo DiCaprio","Jon Hamm, Kathy Bates, Olivia Wilde, Paul Walter Hauser"
,"Soul Food (film)","7500000.0","4.37E7",,"George Tillman Jr.","Babyface, Michael McQuarn","Brandon Hammond, Gina Ravera, Irma P. Hall, Jeffrey D. Sams, Michael Beach, Nia Long, Vanessa Williams, Vivica A. Fox"
,"The DUFF","8500000.0","4.37E7",,"Ari Sandel","Susan Cartsonis","Allison Janney, Bella Thorne, Bianca Santos, Ken Jeong, Mae Whitman, Robbie Amell, Romany Malco"
,"A Star Is Born (2018 film)","3.6E7","4.362E8",,"Bradley Cooper","Bill Gerber, Bradley Cooper, Jon Peters, Todd Phillips","Andrew Dice Clay, Bradley Cooper, Lady Gaga"
,"The Mummy Returns","9.8E7","4.35E8",,"Stephen Sommers","James Jacks, Sean Daniel","Alun Armstrong, Arnold Vosloo, Brendan Fraser, Freddie Boath, John Hannah, Patricia Velásquez"
,"The Greatest Showman","8.4E7","4.35E8",,"Michael Gracey","Peter Chernin","Hugh Jackman, Michelle Williams, Rebecca Ferguson, Zac Efron, Zendaya"
,"Brothers (2009 film)","2.6E7","4.35E7",,"Jim Sheridan","Michael De Luca, Sigurjón Sighvatsson","Clifton Collins Jr., Jake Gyllenhaal, Mare Winningham, Natalie Portman, Sam Shepard, Tobey Maguire"
,"Harold & Kumar Escape from Guantanamo Bay","9.0","4.35E7",,"Hayden Schlossberg, Jon Hurwitz","Nathan Kahane","John Cho, Kal Penn, Neil Patrick Harris"
,"The Great Outdoors (film)","2.4E7","4.34E7",,"Howard Deutch","John Hughes","Dan Aykroyd, John Candy"
,"Last Holiday (2006 film)","4.5E7","4.33E7",,"Wayne Wang","Jack Rapke","Alicia Witt, Giancarlo Esposito, Gérard Depardieu, LL Cool J, Queen Latifah"
,"Orange County (film)","1.8E7","4.33E7",2002-01-11,"Jake Kasdan","Scott Rudin","Catherine O'Hara, Colin Hanks, Jack Black, John Lithgow, Schuyler Fisk"
,"Harriet (film)","1.7E7","4.33E7",,"Kasi Lemmons","Debra Martin Chase, Gregory Allen Howard","Cynthia Erivo, Janelle Monáe, Joe Alwyn, Leslie Odom Jr."
,"Terminator 3: Rise of the Machines","1.873E8","4.334E8",,"Jonathan Mostow","Colin Wilson","Arnold Schwarzenegger, Claire Danes, Kristanna Loken, Nick Stahl"
,"Beastly (film)","1.7E7","4.32E7",,"Daniel Barnz","Susan Cartsonis","LisaGay Hamilton, Mary-Kate Olsen, Neil Patrick Harris, Peter Krause, Vanessa Hudgens"
,"Shang-Chi and the Legend of the Ten Rings","150.0","4.322E8",,"Destin Daniel Cretton","Kevin Feige","Awkwafina, Benedict Wong, Fala Chen, Meng'er Zhang, Michelle Yeoh, Simu Liu"
,"The Secret Life of Pets 2","8.0E7","4.31E8",,"Chris Renaud","Chris Meledandri, Janet Healy","Bobby Moynihan, Ellie Kemper, Eric Stonestreet, Hannibal Buress, Harrison Ford, Jenny Slate, Patton Oswalt"
,"The Snowman (2017 film)","3.5E7","4.31E7",,"Tomas Alfredson","Eric Fellner","Charlotte Gainsbourg, J. K. Simmons, Michael Fassbender, Rebecca Ferguson, Val Kilmer"
,"Annihilation (film)","40.0","4.31E7",,"Alex Garland","Andrew Macdonald, Eli Bush, Scott Rudin","Gina Rodriguez, Jennifer Jason Leigh, Natalie Portman, Oscar Isaac, Tuva Novotny"
,"Freedom Writers","2.1E7","4.31E7",,"Richard LaGravenese","Danny DeVito, Michael Shamberg, Stacey Sher","Hilary Swank, Imelda Staunton, Patrick Dempsey"
,"Cheaper by the Dozen (1950 film)","1700000.0","4.3",,"Walter Lang","Lamar Trotti","Betty Lynn, Clifton Webb, Jeanne Crain"
,"Fame (1980 film)","8500000.0","4.2E7",,"Alan Parker","Alan Marshall, David De Silva","Albert Hague, Anne Meara, Antonia Franceschi, Barry Miller, Boyd Gaines, Gene Anthony Ray, Irene Cara, Jim Moody, Joanna Merlin, Lee Curreri, Maureen Teefy, Paul McCrane"
"0077289","California Suite (film)",,"4.2E7",,"Herbert Ross","Ray Stark",""
,"The Sisterhood of the Traveling Pants (film)","2.5E7","4.2E7",,"Ken Kwapis","Andrew Kosove, Debra Martin Chase, Denise Di Novi","Alexis Bledel, Amber Tamblyn, America Ferrera, Blake Lively, Bradley Whitford, Jenna Boyd, Nancy Travis, Rachel Ticotin"
"1047494","Meet the Browns (film)","2.0E7","4.2E7",,"Tyler Perry","Tyler Perry","Angela Bassett, David Mann Sr., Frankie Faison, Jenifer Lewis, Lamman Rucker, Lance Gross, Margaret Avery, Rick Fox, Sofía Vergara, Tamela Mann, Tyler Perry"
,"Twilight Zone: The Movie","1.0E7","4.2E7",,"George Miller, Joe Dante, John Landis, Steven Spielberg","John Landis, Steven Spielberg","Albert Brooks, Dan Aykroyd, John Lithgow, Scatman Crothers, Vic Morrow"
,"Around the World in 80 Days (1956 film)","6000000.0","4.2E7",,"Michael Anderson","Mike Todd","Cantinflas, David Niven, Robert Newton"
,"The Warlords","4.0E7","4.29E7",,"Peter Ho-sun Chan","Peter Ho-sun Chan","Jet Li, Takeshi Kaneshiro, Xu Jinglei"
"0072353","Going Places (1974 film)",,"4.29E7",,"Bertrand Blier","Paul Claudon","Gérard Depardieu, Miou-Miou, Patrick Dewaere"
,"The Chef, the Actor, the Scoundrel",,"4.297E7",,"Guan Hu","Guan Hu, Huang Bo, Liu Ye, Zhang Hanyu","Huang Bo, Liu Ye, Zhang Hanyu"
,"Rampage (2018 film)","120.0","4.28E8",,"Brad Peyton","Brad Peyton","Jake Lacy, Jeffrey Dean Morgan, Naomie Harris"
"0079510","The Main Event (1979 film)","6000000.0","4.28E7",,"Howard Zieff","Howard Rosenman","Barbra Streisand, Ryan O'Neal"
"0391304","A Lot like Love","3.0E7","4.28E7",,"Nigel Cole","Kevin Messick","Ali Larter, Ashton Kutcher, Kal Penn, Kathryn Hahn, Taryn Manning, Tyrone Giordano"
,"Cabaret (1972 film)","4600000.0","4.28E7",,"Bob Fosse","Cy Feuer","Fritz Wepper, Helmut Griem, Liza Minnelli, Marisa Berenson, Michael York"
,"Carol (film)","1.18E7","4.28E7",,"Todd Haynes","Christine Vachon, Elizabeth Karlsen, Stephen Woolley","Cate Blanchett, Jake Lacy, Kyle Chandler, Rooney Mara, Sarah Paulson"
,"Che (2008 film)","5.8E7","4.28E7",,"Steven Soderbergh","Benicio del Toro","Benicio del Toro"
,"The Matrix Revolutions","110.0","4.273E8",,"Lana and Lilly Wachowski","Joel Silver","Hugo Weaving, Jada Pinkett Smith, Laurence Fishburne"
,"Ip Man (film series)","1.406E8","4.262E8",,"Wilson Yip","Raymond Wong Pak-ming","Donnie Yen"
,"Django Unchained","1.0E8","4.254E8",,"Quentin Tarantino","Reginald Hudlin, Stacey Sher","Christoph Waltz, Dennis Christopher, Don Johnson, James Remar, Kerry Washington, Leonardo DiCaprio, Walton Goggins"
,"My People, My Country",,"4.251E8",,"Chen Kaige, Guan Hu, Ning Hao, Xu Zheng, Xue Xiaolu, Zhang Yibai","Huang Jianxin","Arthur Chen Feiyu, GONG Beibi, Ge You, Huang Bo, Liu Haoran, Ma Yili, Oho Ou, Ren Suxi, Song Jia, Tian Zhuangzhuang, Wu Jing, Zhang Yi, Zhu Yilong"
,"Time Bandits","5000000.0","4.24E7",,"Terry Gilliam","Terry Gilliam","Craig Warnock, David Warner, Ian Holm, Jack Purvis, John Cleese, Katherine Helmond, Kenny Baker, Michael Palin, Mike Edmonds, Peter Vaughan, Shelley Duvall"
,"To Sir, with Love","600000.0","4.2432803E7",,"James Clavell","James Clavell, John R. Sloan","Judy Geeson, Lulu, Suzy Kendall, The Mindbenders"
,"To Sir, with Love","625000.0","4.2432803E7",,"James Clavell","James Clavell, John R. Sloan","Judy Geeson, Lulu, Suzy Kendall, The Mindbenders"
,"Dances with Wolves","2.2E7","4.242E8",,"Kevin Costner","Kevin Costner","Graham Greene, Kevin Costner, Mary McDonnell, Rodney Arnold Grant"
,"Bullitt","4000000.0","4.23E7",,"Peter Yates","Philip D'Antoni","Don Gordon, Jacqueline Bisset, Simon Oakland, Steve McQueen"
,"Blue Thunder","2.2E7","4.2313354E7",,"John Badham","Gordon Carroll","Candy Clark, Daniel Stern, Malcolm McDowell, Warren Oates"
,"Mary and the Witch's Flower",,"4.22E7",,"Hiromasa Yonebayashi","Yoshiaki Nishimura","Fumiyo Kohinata, Hana Sugisaki, Yūki Amami"
,"White Nights (1985 film)","10.0","4.22E7",,", Taylor Hackford",", Taylor Hackford","Geraldine Page, Gregory Hines, Helen Mirren, Isabella Rossellini, Mikhail Baryshnikov"
,"A Good Year","3.5E7","4.22E7",,"Ridley Scott","Ridley Scott","Freddie Highmore, Marion Cotillard, Russell Crowe"
,"Going the Distance (2010 film)","3.2E7","4.21E7",,"Nanette Burstein","Adam Shankman","Christina Applegate, Drew Barrymore, Jason  Sudeikis, Justin Long"
,"Of Gods and Men (film)",,"4.21E7",,"Xavier Beauvois","Étienne Comar","Lambert Wilson, Michael Lonsdale"
,"The Mummy (2017 film)","125.0","4.1E8",,"Alex Kurtzman","Alex Kurtzman, Sean Daniel","Annabelle Wallis, Courtney B. Vance, Jake Johnson, Marwan Kenzari, Russell Crowe, Sofia Boutella, Tom Cruise"
,"To Die For","2.0E7","4.1E7",,"Gus Van Sant","Laura Ziskin","Joaquin Phoenix, Matt Dillon, Nicole Kidman"
"0107057","Guilty as Sin","1.2E7","4.1E7",,"Sidney Lumet","Martin Ransohoff","Don Johnson, Jack Warden, Rebecca De Mornay, Stephen Lang"
"0061318","Mackenna's Gold","7000000.0","4.1E7",,"J. Lee Thompson","Carl Foreman","Anthony Quayle, Burgess Meredith, Camilla Sparv, Edward G. Robinson, Eli Wallach, Gregory Peck, Julie Newmar, Keenan Wynn, Lee J. Cobb, Omar Sharif, Raymond Massey, Ted Cassidy, Telly Savalas"
,"Underwater (film)","50.0","4.1E7",,"William Eubank","Peter Chernin","Jessica Henwick, John Gallagher Jr., Kristen Stewart, Mamoudou Athie, T.J. Miller, Vincent Cassel"
,"The Mirror Has Two Faces",,"4.1E7",,"Barbra Streisand","Arnon Milchan, Barbra Streisand","Barbra Streisand, Jeff Bridges, Lauren Bacall, Mimi Rogers, Pierce Brosnan"
"0064615","Mackenna's Gold","7000000.0","4.1E7",,"J. Lee Thompson","Carl Foreman","Anthony Quayle, Burgess Meredith, Camilla Sparv, Edward G. Robinson, Eli Wallach, Gregory Peck, Julie Newmar, Keenan Wynn, Lee J. Cobb, Omar Sharif, Raymond Massey, Ted Cassidy, Telly Savalas"
"0315297","Twisted (2004 film)","5.0E7","4.1E7",,"Philip Kaufman","Arnold Kopelson","Andy García, Ashley Judd, Mark Pellegrino, Russell Wong"
,"Reality Bites","1.15E7","4.1E7",,"Ben Stiller","Danny DeVito, Michael Shamberg","Ben Stiller, Ethan Hawke, Joe Don Baker, John Mahoney, Swoosie Kurtz, Winona Ryder"
,"Drive Angry","45.0","4.1E7",,"Patrick Lussier","Adam Fields, Michael De Luca","Amber Heard, Billy Burke, Charlotte Ross, Katy Mixon, Tom Atkins, William Fichtner"
,"Fright Night (2011 film)","3.0E7","4.1E7",,"Craig Gillespie","Michael De Luca",", Anton Yelchin, Christopher Mintz-Plasse, Colin Farrell, David Tennant, Toni Collette"
,"Gridiron Gang","3.0E7","4.1E7",,"Phil Joanou","Neal H. Moritz","Kevin Dunn, Leon Rippy, Xzibit"
,"As Above, So Below (film)","5000000.0","4.19E7",,"John Erick Dowdle","Thomas Tull","Edwin Hodge, François Civil, Perdita Weeks"
,"The Guilt Trip (film)","4.0E7","4.19E7",,"Anne Fletcher","Evan Goldberg, Lorne Michaels","Barbra Streisand, Seth Rogen"
,"Snow White and the Seven Dwarfs (1937 film)","1490000.0","4.18E8",,"Ben Sharpsteen, David Hand, Percival C. Pearce, Wilfred Jackson","Walt Disney","Adriana Caselotti, Billy Gilbert, Eddie Collins, Harry Stockwell, Lucille La Verne, Moroni Olsen, Otis Harlan, Pinto Colvig, Roy Atwell, Scotty Mattraw"
,"The Informant!","2.2E7","4.18E7",,"Steven Soderbergh","Gregory Jacobs, Kurt Eichenwald, Michael Jaffe","Matt Damon, Melanie Lynskey"
,"Mon Mon Mon Monsters","1.0E8","4.18E7",,"Giddens Ko","Giddens Ko","Kent Tsai"
,"Sex and the City (film)","6.5E7","4.188E8",,"Michael Patrick King","Darren Star, Michael Patrick King, Sarah Jessica Parker","Candice Bergen, Chris Noth, Cynthia Nixon, Jennifer Hudson, Kim Cattrall, Kristin Davis, Sarah Jessica Parker"
,"Casino Royale (1967 film)","1.2E7","4.17E7",,"John Huston, Ken Hughes, Robert Parrish, Val Guest","Charles K. Feldman",", Angela Scoular, Barbara Bouchet, Charles Boyer, Daliah Lavi, David Niven, Deborah Kerr, Elaine Taylor, George Raft, Jean-Paul Belmondo, Joanna Pettet, John Huston, Kurt Kasznar, Orson Welles, Peter Sellers, Terence Cooper, Tracy Reed, Ursula Andress, William Holden, Woody Allen"
,"Overlord (2018 film)","3.8E7","4.17E7",,"Julius Avery","J. J. Abrams","Bokeem Woodbine, Iain De Caestecker, John Magaro, Jovan Adepo, Mathilde Ollivier, Pilou Asbæk, Wyatt Russell"
,"Delusions of Grandeur (film)",,"4.17E7",1971-12-08,"Gérard Oury","Alain Poiré","Alice Sapritch, Louis de Funès, Yves Montand"
,"My Best Friend's Girl (2008 film)","2.0E7","4.16E7",,"Howard Deutch","Adam Herz, Barry Katz, Brian Volk-Weiss","Alec Baldwin, Dane Cook, Diora Baird, Jason Biggs, Kate Hudson"
,"The Brain (1969 film)","3600000.0","4.16E7",,"Gérard Oury","Alain Poiré","André Bourvil, David Niven, Eli Wallach, Jean-Paul Belmondo, Silvia Monti"
,"Set It Off (film)","9000000.0","4.16E7",,"F. Gary Gray","Oren Koules","Blair Underwood, Chaz Lamar Shepherd, Ella Joyce, Jada Pinkett Smith, John C. McGinley, Kimberly Elise, Queen Latifah, Vivica A. Fox"
,"The Mummy (1999 film)","8.0E7","4.164E8",,"Stephen Sommers","James Jacks, Sean Daniel","Arnold Vosloo, Brendan Fraser, John Hannah"
,"Wimbledon (film)","3.1E7","4.15E7",,"Richard Loncraine","Eric Fellner","Jon Favreau, Kirsten Dunst, Paul Bettany, Sir Sam Neill"
,"Dredd","30.0","4.15E7",,"Pete Travis","Alex Garland, Andrew Macdonald","Lena Headey, Wood Harris"
,"Fighting with My Family","1.1E7","4.15E7",,"Stephen Merchant","Dany Garcia, Kevin Misher, Stephen Merchant","Florence Pugh, Jack Lowden, Lena Headey, Nick Frost, Vince Vaughn"
,"The Chronicles of Narnia: The Voyage of the Dawn Treader","140.0","4.156E8",,"Michael Apted","Andrew Adamson, Mark Johnson","Ben Barnes, Georgie Henley, Skandar Keynes, Tilda Swinton, Will Poulter"
,"Jason Bourne (film)","1.2E8","4.155E8",,"Paul Greengrass","Matt Damon, Paul Greengrass","Alicia Vikander, Matt Damon, Riz Ahmed, Tommy Lee Jones, Vincent Cassel"
,"The Lady in the Van","6000000.0","4.14E7",,"Nicholas Hytner","Damian Jones, Nicholas Hytner","Alex Jennings, Frances de la Tour, Jim Broadbent, Maggie Smith, Roger Allam"
,"Whale Rider","9200000.0","4.14E7",,"Niki Caro","Tim Sanders",""
,"Whale Rider","3500000.0","4.14E7",,"Niki Caro","Tim Sanders",""
,"Shark Night","2.5E7","4.14E7",,"David R. Ellis","Mike Fleiss","Chris Carmack, Donal Logue, Dustin Milligan, Joel David Moore, Joshua Leonard, Katharine McPhee, Sara Paxton"
,"Pale Rider","6900000.0","4.14E7",,"Clint Eastwood","Clint Eastwood","Carrie Snodgress, Chris Penn, Clint Eastwood, Doug McGrath, John Russell, Michael Moriarty, Richard Dysart, Richard Kiel, Sydney Penny"
,"The Wolverine (film)","100.0","4.148E8",,"James Mangold","Lauren Shuler Donner","Famke Janssen, Hiroyuki Sanada, Hugh Jackman, Rila Fukushima, Tao Okamoto, William Yun Lee"
,"Kingsman: The Secret Service","81.0","4.144E8",,"Matthew Vaughn","Matthew Vaughn","Colin Firth, Mark Strong, Michael Caine, Taron Egerton"
,"Forever Young (2015 film)",,"4.142E7",0000-12-31T00:00:00Z,"He Jiong","Huang Lei","Li Yifeng, Zhang Huiwen"
,"Pinocchio (2002 film)","40.0","4.13E7",,"Roberto Benigni","Gianluigi Braschi","Carlo Giuffrè, Corrado Pani, Fichi d'India, Kim Rossi Stuart, Nicoletta Braschi, Roberto Benigni"
,"Leatherheads","5.8E7","4.13E7",,"George Clooney","George Clooney, Grant Heslov","George Clooney, John Krasinski, Jonathan Pryce, Renée Zellweger"
,"Ricki and the Flash","18.0","4.13E7",,"Jonathan Demme","Diablo Cody, Gary Goetzman, Marc E. Platt, Mason Novick","Audra McDonald, Kevin Kline, Mamie Gummer, Meryl Streep, Rick Springfield, Sebastian Stan"
,"This Is Where I Leave You","1.98E7","4.13E7",,"Shawn Levy","Paula Weinstein, Shawn Levy","Adam Driver, Corey Stoll, Jane Fonda, Jason Bateman, Kathryn Hahn, Rose Byrne, Tina Fey"
,"Cyrano de Bergerac (1990 film)","1.53E7","4.13E7",,"Jean-Paul Rappeneau","Michel Seydoux","Gérard Depardieu"
,"Quarantine (2008 film)","1.2E7","4.13E7",,"John Erick Dowdle","Roy Lee","Columbus Short, Dania Ramirez, Jay Hernandez, Jennifer Carpenter, Johnathon Schaech, Rade Šerbedžija, Steve Harris"
